STT	正确答案	题目		B	C	D
1	A	“人生能有几回搏”这句名言最初出自哪位运动员？	容国团	许海峰	郎平	聂卫平
2	A	以下哪种食品不适于小儿冬季补益？	何首乌	山楂	红小豆	茯苓
3	A	吉它有几根弦？	7	4	6	9
4	A	血管破裂时，血液中的什么物质会凝结成块，堵住破裂部分以止血？	血小板	血清	红血球	白血球
5	A	我国古代称生什么为“弄瓦”？	女孩	男孩	第一个孩子	第二个孩子
6	A	“得道者多助，失道者寡助”出自哪一本古代典籍？ 	孟子	庄子	左转	战国策
7	A	父母和一个已婚子女及其配偶、后代所组成的家庭属于什么类型的家庭？	直系家庭	复合家庭	单身家庭	单身家庭
8	A	万里长城起于山海关，终止于：	嘉峪关	雁门关 	居庸关	居庸关
9	A	“百会穴”在：	头顶正中	上唇正中	后脑上	两眉间
10	A	从何时起，对最高统治者称“王”？	商	夏	周	春秋
11	A	大雁塔在哪里？	西安	苏州	杭州	洛阳
12	A	"平面直角坐标系中,右下方为第几象限？"	第四象限	第三象限	第二象限	第一象限 
13	A	龙在十二生肖中排行第几？	5	4	6	3
14	A	“五十步笑百步”出自：	《晏子春秋》 	《三国演义》	《孟子》	《三国志》
15	A	我国盛产茶花的城市是	大理	长沙	昆明	成都
16	A	诗句“落花时节又逢君”中的“君”指的是：	李龟年 	李商隐	杜甫	李白
17	A	冻疮是由于皮肤哪一部分受损而引起的？	毛细血管	竖毛肌	汗腺	毛囊
18	A	银杏属于什么种类水果？	竖果类	复果类	核果类	仁果类
19	A	哪种病人不宜饮茶？	溃疡病	肾衰竭	急性胃肠炎 	心血管疾病
20	A	“悄悄地挥一挥手，不带走一片云彩”的是诗人：	徐志摩	北岛	席慕容	葬月大人
21	A	“变脸”是哪个剧种的绝活？	川剧 	豫剧	粤剧	京剧
22	A	汽车在什么状态下排放的一氧化碳最多：	停车状态开发动机	低速行驶	中速行驶	高速行驶
23	A	在下列土地使用权出让的项目中哪种用地得到的出让土地使用权的年限最高？	居住使用	工业使用	教育使用	商业使用
24	A	世界上有一个地方，每年有两个月没有白天，又有近3个月没有黑夜，这里是：	美国最北部的巴罗镇	冰岛 	中国的漠河	苏格兰
25	A	人们最早是从哪种动物身上得知咖啡的作用的？	羊	兔子	牛	猪
26	A	美国微软公司的总部设在	美国西部	美国东部	美国南部	巴陵县
27	A	女方在怀孕期间、分娩后多长时间内，男方不得提出离婚？	1年	1年半	2年	半年
28	A	美丽的极光多出现在极地上空，这是因为：	地球磁场作用的结果	极地气候异常寒冷	极夜期间天空黑暗	太阳斜射极地高层大气
29	A	《笑傲江湖》中的乔峰，身世埋在雁门关下。雁门关在	山西 	陕西	新疆	宁夏
30	A	摄影镜头上的镀膜的作用是：	减少光线的乱反射 	加强光晕现象	降低镜头透光力	提高透镜反射率 
31	A	用有盖的茶碗沏的茶叫“盖碗茶”，是哪个民族的一种饮茶风俗？	回	满	白	壮
32	A	从人物所处的时代角度，选出不同的一项是：	韩愈	欧阳修	范仲淹 	王安石
33	A	狗的鼻尖为什么经常是湿乎乎的？	 滋润嗅觉细胞的分泌物	经常喝水而弄湿的	鼻子怕冷而冻出来的	经常用唾液清洗
34	A	“业精于勤，而荒于嬉”是中国哪位古人提出来的思想？	韩愈	柳宗元	孔子	葬月大人
35	A	消防队救火：	不收费	视情况而定	收取部分费用	收费 
36	A	“六畜兴旺”中的“六畜”是指猪、牛、马、羊、狗、鸡六种，其中人工驯化最早的是：	猪	牛	羊	马
37	A	小王在“满百元，送五十元购物券”的促销活动中买了150元的裤子，大体等于打：	75折	67折	65折	5折
38	A	“玫瑰王国”是指哪个国家？	保加利亚 	法国 	英国 	罗马尼亚
39	A	“琵琶”中的“琵”和“琶”最初指的是	两种弹奏方法	两种乐器 	两个人 	两个乐器
40	A	康熙皇帝的庙号是：	圣祖	世祖	太宗	仁宗
41	A	在高速公路上行驶的机动车辆如果遇到能见度小于50米的大雾，最高时速不得超过多少？	20公里	25公里	30公里	35公里
42	A	在云南，湖泊习惯上被称为：	海	淀	泽	泊
43	A	下面哪一个不属于长江三峡：	虎跳峡	巫峡	瞿塘峡	西陵峡 
44	A	下列责任中，不属于民事责任的是	罚款	排除妨碍	赔偿损失	返还财产
45	A	玩桥牌时，首局由哪家开始叫牌？	北家	西家	南家	东家
46	A	如果一个1.7公里大小的撞击物冲撞地球，全球气温将会	下降10度左右	上升100度左右	下降100度左右	上升10度左右
47	A	“明月几时有？把酒问青天。”是谁的诗词？	苏东坡	白居易	李白	葬月大人
48	A	“阿非利加洲”的简称是什么？	非洲	亚洲	欧洲	大洋洲
49	A	“哀的美敦书”意思是？	最后通牒	爱美的人	美容的书	战书
50	A	“八字”指什么？	人出生的年月日时	八卦阵	写字	嘲笑
51	A	“巴士”由英语音译而来，其意思是？	公共汽车	小轿车	大卡车	工具车
52	A	“百事通”指的是什么样的人？	无事不晓	万事达	万金油	葬月大人
53	A	“笔友”是指因什么而结交的朋友？	书信	电话	网络	电报
54	A	“布谷”是指哪种鸟的别称？	杜鹃	喜鹊	麻雀	猫头鹰
